BioSample	Run
SAMN02414881	SRR1146381
SAMN02414883	SRR1144724
SAMN02414988	SRR1165568
SAMN02414963	SRR1165581
SAMN02419619	SRR1163112
SAMN02414960	SRR1165598
SAMN08436099	SRR6650398
SAMN08436097	SRR6650389
SAMN02414952	SRR1165567
SAMN02414845	SRR1165596
SAMN02414982	SRR1165558
SAMEA2534974	ERR552875
SAMN02414989	SRR1165527
SAMN08795350	SRR6896379
SAMEA2535055	ERR552989
SAMN08436101	SRR6650346
SAMEA2534425	ERR2199766
SAMEA5329278	ERR3148036
SAMEA2535330	ERR2199750
SAMN08629329	SRR6797705
SAMEA2533861	ERR2200046
SAMEA2534000	ERR2199758
SAMEA2535186	ERR553165
SAMN08436087	SRR6650108
SAMEA2534689	ERR2199757
SAMN04385691	SRR3085308
SAMEA2533942	ERR551440
SAMEA104394461	ERR2199845
SAMN08629315	SRR6797294
SAMEA104394436	ERR2199815
SAMEA2533753	ERR551176
SAMN08629259	SRR6797481
SAMEA2534330	ERR551983
SAMEA2533542	ERR550884
SAMEA2535310	ERR2200060
SAMN34257594	SRR24222996
SAMN02419609	SRR1169118
SAMN08629418	SRR6797511
SAMN08436194	SRR6650103
SAMN08629396	SRR6797776
SAMN08436026	SRR6650168
SAMEA7423391	ERR4872201
SAMN08435998	SRR6650235
SAMEA2534929	ERR2199747
SAMN08436024	SRR6650198
SAMEA2534399	ERR2199748
SAMEA2517365	ERR498296
SAMEA104394567	ERR11081311
SAMN08436183	SRR6650385
SAMEA2533615	ERR550989
SAMEA2534507	ERR552238
SAMEA2534823	ERR552690
SAMN08436176	SRR6650368
SAMEA2534980	ERR552887
SAMEA2533849	ERR551308
SAMN08629433	SRR6797861
SAMEA2533996	ERR551516
SAMN08436014	SRR6650161
SAMEA2533389	ERR550683
SAMEA2534307	ERR551943
SAMN08629270	SRR6797644
SAMEA2534809	ERR552669
SAMN08629484	SRR6797837
SAMEA2535095	ERR553047
SAMN08629366	SRR6797639
SAMN08629436	SRR6797856
SAMEA2533463	ERR550779
SAMN08436195	SRR6650428
SAMEA2534197	ERR551795
SAMN04385749	SRR3082104
SAMN08629490	SRR6797792
SAMN08436222	SRR6650283
SAMEA2533708	ERR551112
SAMEA2535221	ERR2200022
SAMN08436010	SRR6650127
SAMN08436034	SRR6650401
SAMN08629265	SRR6797633
SAMN02414935	SRR1144767
SAMEA2534711	ERR552531
SAMN08629455	SRR6797456
SAMN08629338	SRR6797443
SAMN08629256	SRR6797478
SAMN08629002	SRR6797505
SAMEA2534973	ERR552873
SAMN08436150	SRR6650175
SAMN08629358	SRR6797833
SAMEA2534597	ERR552364
SAMEA2534557	ERR552309
SAMEA2533595	ERR550963
SAMEA2534828	ERR2199968
SAMEA2534162	ERR551744
SAMN02414921	SRR1144770
SAMN08629472	SRR6797596
SAMEA2533604	ERR550977
SAMEA2533879	ERR551353
SAMN08629096	SRR6797713
SAMEA2533485	ERR550809
SAMEA2535241	ERR2200094
SAMEA2533898	ERR551378
SAMN04385748	SRR3082103
SAMEA2535184	ERR553162
SAMN08629430	SRR6797685
SAMEA2533554	ERR550908
SAMN08629260	SRR6797471
SAMN08629106	SRR6797547
SAMEA2533774	ERR2200030
SAMEA2534185	ERR551777
SAMN08629435	SRR6797863
SAMEA2533379	ERR550668
SAMEA2535106	ERR2199793
SAMN08629266	SRR6797632
SAMEA2534166	ERR551749
SAMEA2534086	ERR551641
SAMEA2533364	ERR550647
SAMN08436143	SRR6650182
SAMN08629486	SRR6797628
SAMN08629017	SRR6797585
SAMN08436189	SRR6650379
SAMEA2534207	ERR551810
SAMEA2533987	ERR551501
SAMN08629257	SRR6797479
SAMN08629458	SRR6797451
SAMEA2534291	ERR551921
SAMEA2535210	ERR2200064
SAMEA2534025	ERR551558
SAMEA2517416	ERR498350
SAMEA2534864	ERR552739
SAMN08436105	SRR6650350
SAMN08629538	SRR6797343
SAMN08436266	SRR6650321
SAMEA2534075	ERR551622
SAMEA2534442	ERR552144
SAMEA2535243	ERR553247
SAMEA2533673	ERR551069
SAMEA2534924	ERR552816
SAMEA2534205	ERR551806
SAMEA2535185	ERR553169
SAMN08629423	SRR6797676
SAMEA3170445	ERR2515392
SAMN08629148	SRR6797656
SAMEA2534780	ERR552632
SAMEA2534468	ERR552182
SAMN08795216	SRR6896198
SAMEA7549016	ERR4815656
SAMN08629007	SRR6797502
SAMEA2534918	ERR552807
